avg,position
72.32225815936489,LB
70.58363903154806,DB
70.86238532110092,K
73.62058823529412,QB
74.22591362126246,DT
74.08928571428571,NT
74.74410163339383,DE
75.42446043165468,G
75.32282282282283,TE
74.89403973509934,C
73.9651051625239,DL
71.01552106430155,FB
71.58257513096223,WR
69.6491683991684,RB
72.06423982869379,S
72.4475138121547,P
75.25470621791214,OL
70.62708102108768,CB
77.13418530351437,OT
28.055555555555557,?
72.22305764411027,LS
